q_id,questions,answer,Faithfulness,Answer_Relevancy,Contextual_Recall,Contextual_Precision,Contextual_Relevancy
16,颱風天過後水很濁，這時候的氯含量標準會不一樣嗎？,這是針對「颱風天過後水很濁，這時候的氯含量標準會不一樣嗎？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
17,門口的水表被人偷走了，我要賠錢嗎？還是只要報警就好？,這是針對「門口的水表被人偷走了，我要賠錢嗎？還是只要報警就好？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
18,用手機掃QR Code刷卡繳水費，銀行會多收手續費嗎？,這是針對「用手機掃QR Code刷卡繳水費，銀行會多收手續費嗎？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
19,我不想要用台水App了，要怎麼把我的個資和帳號全部刪掉？,這是針對「我不想要用台水App了，要怎麼把我的個資和帳號全部刪掉？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
20,頂樓水塔常常沒水，我可以直接在一樓裝馬達抽水上去嗎？,這是針對「頂樓水塔常常沒水，我可以直接在一樓裝馬達抽水上去嗎？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
21,救命，我打開水龍頭流出來是白色的，是不是有毒？,這是針對「救命，我打開水龍頭流出來是白色的，是不是有毒？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
22,我要搬家了，那個水費要怎麼處理才不會繼續算我的錢？,這是針對「我要搬家了，那個水費要怎麼處理才不會繼續算我的錢？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
23,我覺得我家水費怪怪的，平常沒用這麼多，是不是你們算錯？,這是針對「我覺得我家水費怪怪的，平常沒用這麼多，是不是你們算錯？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
24,我不喜歡那個紙張的單子，很不環保，有沒有別的方式？,這是針對「我不喜歡那個紙張的單子，很不環保，有沒有別的方式？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
25,喝起來有一股藥味，這水是不是不乾淨？,這是針對「喝起來有一股藥味，這水是不是不乾淨？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
26,我想把名字改成我的，原本是前屋主的，要帶什麼去？,這是針對「我想把名字改成我的，原本是前屋主的，要帶什麼去？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
27,熱水瓶底下都有白白的垢，那個吃下去會不會結石？,這是針對「熱水瓶底下都有白白的垢，那個吃下去會不會結石？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
28,我忘了繳錢，現在半夜超商還能繳嗎？還是會被斷水？,這是針對「我忘了繳錢，現在半夜超商還能繳嗎？還是會被斷水？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
29,為什麼洗澡水忽大忽小，樓上根本洗不痛快！,這是針對「為什麼洗澡水忽大忽小，樓上根本洗不痛快！」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
30,我覺得隔壁好像偷接我的水管，水費變好多，要去哪裡講？,這是針對「我覺得隔壁好像偷接我的水管，水費變好多，要去哪裡講？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
